vehicle_number,vehicle_name,timestamp,order,Sensor_Hours,NOx,NOx_max,NOx_min,NOx_dp,samples,O2,position,label_parado_nox
119,truck_1709648962,1.70883E+12,13392,13,2,4,1,1,1200,17.48,POINT(-43.2786382 -22.8701468),True
119,truck_1709648962,1.70883E+12,13391,13,17,117,0,25,1200,15.85,POINT(-43.2785190 -22.8700807),True
119,truck_1709648962,1.70883E+12,13390,13,23,94,7,17,1200,16.74,POINT(-43.2766107 -22.8706352),True
119,truck_1709648962,1.70883E+12,13389,13,39,125,1,29,1200,14.27,POINT(-43.2762365 -22.8737292),True
119,truck_1709648962,1.70883E+12,13388,13,46,200,0,43,1200,13.74,POINT(-43.2686450 -22.8722297),True
119,truck_1709648962,1.70883E+12,13387,13,55,166,0,39,1200,13.01,POINT(-43.2633378 -22.8713123),True
119,truck_1709648962,1.70883E+12,13386,13,119,391,0,111,1200,10.93,POINT(-43.2516688 -22.8721573),False
119,truck_1709648962,1.70883E+12,13385,13,93,409,0,107,1200,14.45,POINT(-43.2460177 -22.8707268),False
119,truck_1709648962,1.70883E+12,13384,13,35,152,0,37,1200,15.24,POINT(-43.2419430 -22.8763987),True
119,truck_1709648962,1.70883E+12,13383,13,56,230,0,50,1200,13.93,POINT(-43.2362145 -22.8838797),True
119,truck_1709648962,1.70883E+12,13382,13,59,207,0,53,1200,13.13,POINT(-43.2282925 -22.8851065),False
119,truck_1709648962,1.70883E+12,13381,13,32,198,0,47,1200,15.63,POINT(-43.2194208 -22.8888750),True
119,truck_1709648962,1.70883E+12,13380,13,67,264,0,72,1200,12.57,POINT(-43.2132515 -22.8955063),False
119,truck_1709648962,1.70883E+12,13379,13,121,417,0,113,1200,12.84,POINT(-43.2097605 -22.9045395),False
119,truck_1709648962,1.70883E+12,13378,13,302,1287,3,302,1200,13.71,POINT(-43.2064357 -22.9097832),False
119,truck_1709648962,1.70883E+12,13377,13,400,983,18,239,1200,13.23,POINT(-43.1971158 -22.9068313),False
119,truck_1709648962,1.70883E+12,13376,13,246,762,1,250,1200,15.71,POINT(-43.1940218 -22.9079410),False
119,truck_1709648962,1.70883E+12,13375,13,452,1337,13,306,1200,12.64,POINT(-43.1886762 -22.9118580),False
119,truck_1709648962,1.70883E+12,13374,13,281,745,13,179,1200,16.34,POINT(-43.1864197 -22.9125588),False
119,truck_1709648962,1.70883E+12,13373,13,324,1039,144,138,1200,16.17,POINT(-43.1873045 -22.9136057),False
